05/10/2018 22:09:30 - Entro in calcTopicDistribution
05/10/2018 22:11:51 - Entro in calcTopicDistribution
05/10/2018 22:11:51 - calcTopicDistribution add matrix
05/10/2018 22:11:51 - calcTopicDistribution add other
05/10/2018 22:11:51 - calcTopicDistribution step1
05/10/2018 22:11:51 - calcTopicDistribution step2
05/10/2018 22:11:51 - calcTopicDistribution return
05/10/2018 22:13:01 - Entro in calcTopicDistribution
05/10/2018 22:13:01 - calcTopicDistribution add matrix
05/10/2018 22:13:01 - calcTopicDistribution add other
05/10/2018 22:13:01 - calcTopicDistribution step1
05/10/2018 22:13:01 - calcTopicDistribution step2
05/10/2018 22:14:26 - Entro in calcTopicDistribution
05/10/2018 22:14:26 - calcTopicDistribution add matrix
05/10/2018 22:14:26 - calcTopicDistribution add other
05/10/2018 22:14:26 - calcTopicDistribution step1
05/10/2018 22:14:26 - calcTopicDistribution step2
05/10/2018 22:14:26 - calcTopicDistribution return
05/10/2018 22:40:21 - Inizio creazione nuovo test settings
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 2
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 3
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 4
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 5
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 6
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 7
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 10
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 11
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.1
05/10/2018 22:40:21 - 7New Settings1000009015
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.2
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.3
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.4
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.5
05/10/2018 22:40:21 - >>>>>>>>>>>>>>>>>>>> 15.6
05/10/2018 22:40:22 - >>>>>>>>>>>>>>>>>>>> 15.7
05/10/2018 22:40:22 - >>>>>>>>>>>>>>>>>>>> 16
05/10/2018 22:40:22 - >>>>>>>>>>>>>>>>>>>> 20
05/10/2018 22:40:43 - Entro in calcTopicDistribution
05/10/2018 22:40:43 - calcTopicDistribution add matrix
05/10/2018 22:40:43 - calcTopicDistribution add other
05/10/2018 22:40:43 - calcTopicDistribution step1
05/10/2018 22:40:43 - calcTopicDistribution step2
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
05/10/2018 22:40:43 - Entro, K=0 ; num topic: 21
